id,date,amount,isExpense,category
780,2025-03-01,250,1,Other Expense
781,2025-03-01,45,1,Housing
782,2025-03-03,400,1,Entertainment
783,2025-03-04,15,1,Healthcare
784,2025-03-04,8,1,Food
785,2025-03-05,1150,1,Transport
786,2025-03-05,400,1,Shopping
787,2025-03-05,650,1,Other Expense
788,2025-03-06,15,1,Housing
789,2025-03-09,22,1,Entertainment
790,2025-03-09,120,1,Healthcare
791,2025-03-10,18,1,Food
792,2025-03-11,8,1,Transport
793,2025-03-11,75,1,Shopping
794,2025-03-11,180,1,Other Expense
795,2025-03-13,75,1,Housing
796,2025-03-13,120,1,Entertainment
797,2025-03-14,45,1,Healthcare
798,2025-03-14,18,1,Food
799,2025-03-15,4100,0,Salary
800,2025-03-15,650,1,Shopping
801,2025-03-16,75,1,Other Expense
802,2025-03-17,90,1,Housing
803,2025-03-18,18,1,Entertainment
804,2025-03-19,400,1,Healthcare
805,2025-03-19,180,1,Food
806,2025-03-20,1450,1,Transport
807,2025-03-21,250,1,Shopping
808,2025-03-22,90,1,Other Expense
809,2025-03-22,180,1,Housing
810,2025-03-23,400,1,Entertainment
811,2025-03-23,120,1,Healthcare
812,2025-03-24,75,1,Food
813,2025-03-24,22,1,Transport
814,2025-03-25,400,1,Shopping
815,2025-03-26,90,1,Other Expense
816,2025-03-27,60,1,Housing
817,2025-03-28,2650,0,Salary
818,2025-03-28,75,1,Healthcare
819,2025-03-28,12,1,Food
820,2025-03-28,15,1,Transport
821,2025-03-29,8,1,Shopping
822,2025-03-30,30,1,Other Expense
823,2025-03-31,30,1,Housing
824,2025-03-31,90,1,Entertainment
825,2025-04-01,4050,0,Other Income
826,2025-04-01,45,1,Food
827,2025-04-01,30,1,Transport
828,2025-04-02,120,1,Shopping
829,2025-04-02,650,1,Other Expense
830,2025-04-02,12,1,Housing
831,2025-04-03,22,1,Entertainment
832,2025-04-04,400,1,Healthcare
